,error_abs
eeg_band_power_mean,0.2131398013750955
emg_keyboard_ratio,0.17844886753603295
imu_head_mean,0.16608097784568374
eeg_metrics_mean,0.14469060351413293
emg_gsr_ratio,0.09851728292095265
imu_chair_seat_mean,0.07929711797636325
heart_rate_mean,0.05177699403147043
emg_mean,0.04080252061903438
imu_left_hand_mean,0.03326846446112501
spo2_mean,0.02934853118339357
imu_right_hand_mean,0.02803261977573904
heart_emg_ratio,-0.004801953336950624
facial_skin_temperature_mean,-0.005800320868814019
mouse_mean,-0.034943749813494074
keyboard_mean,-0.049745045452009154
eye_tracker_mean,-0.052587674497786854
imu_chair_back_mean,-0.07100352477710968
gsr_mean,-0.11668056713928274
stress_index,-0.1874525230602279
