,Coef
num__emg_mean,-1.055216029005113
num__imu_head_mean,-1.055216029005113
num__hr_iqr,-1.055216029005113
num__hr_p95,-1.055216029005113
num__stress_index,-1.055216029005113
num__emg_keyboard_ratio,-1.055216029005113
num__gsr_spo2_diff,-1.055216029005113
num__heart_emg_ratio,-1.055216029005113
num__emg_gsr_ratio,-1.055216029005113
num__mouse_mean,-1.055216029005113
num__keyboard_mean,-1.055216029005113
num__eye_tracker_mean,-1.055216029005113
num__facial_skin_temperature_mean,-1.055216029005113
num__eeg_metrics_mean,-1.055216029005113
num__eeg_band_power_mean,-1.055216029005113
num__spo2_mean,-1.055216029005113
num__imu_right_hand_mean,-1.055216029005113
num__imu_left_hand_mean,-1.055216029005113
num__imu_chair_seat_mean,-1.055216029005113
num__imu_chair_back_mean,-1.055216029005113
num__heart_rate_mean,-1.055216029005113
num__gsr_mean,-1.055216029005113
num__emg_fft_peak,-1.055216029005113
