TSNE1,TSNE2,cluster
-2.0079448,-2.2010589,0
-2.1848624,-2.403226,0
-0.5301671,-1.2305273,0
0.28907076,-0.97587615,0
-7.5053854,-5.5095325,2
2.3853157,0.34573898,0
-4.115271,-3.9548826,0
6.1556854,2.3298848,1
-7.2278514,-5.1919355,2
5.0290093,3.221568,1
-6.8696623,-5.815574,2
-7.9885125,-5.4398313,2
7.98269,4.1899896,1
2.6910663,0.69210696,0
-5.0545654,-4.055981,0
2.8157964,0.7875199,0
-1.1329151,-1.6599498,0
-3.1200469,-3.067305,0
-6.56975,-5.230028,2
6.0603766,2.610378,1
-4.9214706,-3.9486454,0
1.2178934,-0.41049173,0
2.695763,0.34936297,0
-0.08056292,-1.3502727,0
-0.0702099,-1.2712978,0
-8.019714,-5.4236584,2
5.544638,1.9629545,1
-4.3448606,-4.0356584,0
3.2190084,1.0107323,0
0.07127894,-1.0651443,0
-1.6312017,-2.024467,0
5.114465,2.0371246,1
3.3272092,0.6554013,0
-0.57661206,-1.7569059,0
-5.468452,-4.55049,2
4.117054,1.3422431,1
-0.58605903,-1.2768251,0
1.7567884,-0.07956509,0
-1.1160076,-1.6463603,0
1.8596973,-0.01551602,0
-4.3282886,-3.5525217,0
5.506792,2.0447803,1
4.2263994,1.4298072,1
7.545148,3.1629682,1
5.8423867,2.123767,1
-3.387488,-3.2691472,0
2.8979504,0.40804547,0
-4.814485,-4.3422146,0
-2.9303007,-2.9378176,0
-0.32335886,-1.1395097,0
5.140539,1.9979844,1
5.4790783,1.9196328,1
-0.6234768,-1.7873778,0
2.3650482,0.31970683,0
3.6386564,1.07554,0
-4.481689,-3.630464,0
3.111501,0.96412164,0
-8.74409,-4.750202,3
-1.3100644,-1.7943906,0
7.9133534,3.9363916,1
-7.6638384,-5.500157,2
8.073653,4.44675,1
-3.7534637,-3.4803493,0
4.5853534,1.6512463,1
-6.672029,-5.293536,2
5.870254,2.6465738,1
5.5477757,2.4961877,1
-2.5022798,-2.7601748,0
6.5663295,2.843108,1
-6.724878,-5.3073745,2
5.462593,2.451341,1
-6.4962454,-5.193415,2
6.937035,3.145725,1
-4.943078,-4.399654,0
-4.0639486,-3.4878063,0
6.9393735,2.6091628,1
-2.2930186,-2.348172,0
-5.757093,-4.733555,2
7.4009104,2.904855,1
-5.344803,-4.430151,2
-5.4023666,-4.4947324,2
6.113151,2.304158,1
-4.4948807,-4.135949,0
7.282221,2.7547047,1
-6.876926,-5.3961787,2
6.7688704,3.064015,1
-5.884648,-4.7920303,2
-0.16856559,-1.5328157,0
-2.4382677,-2.4338074,0
3.3708389,0.89812946,0
-2.9422414,-2.969521,0
7.0084343,2.6253874,1
5.2469063,2.2737422,1
-6.552022,-5.1995,2
7.5293503,3.1489174,1
-7.359833,-5.4752336,2
3.3352668,0.6890095,0
7.019118,3.1740298,1
-8.719886,-4.7704787,3
-1.2888452,-2.0432308,0
-4.0656834,-3.9152107,0
7.7606835,3.4079628,1
-1.9789981,-2.5834968,0
2.2877052,0.2549925,0
-3.813576,-3.5677905,0
-1.827791,-2.6096935,0
4.0904984,1.4242599,1
-2.2356908,-2.8339884,0
-1.0741298,-2.3244274,0
